date,AQI,AVPM25,AVPM10,AVO3,AVCO,SO2,NO2,PM25,PM10,O3,CO
2023-06-14 13:00:00,36.0,11.0,13.0,24.0,0.2,0.2,1.0,9.0,8.0,37.0,0.13
2023-06-14 12:00:00,40.0,12.0,16.0,21.0,0.2,0.5,1.0,8.0,8.0,38.0,0.12
2023-06-14 11:00:00,40.0,12.0,16.0,21.0,0.2,0.5,1.0,8.0,8.0,38.0,0.12
2023-06-14 10:00:00,43.0,13.0,18.0,16.0,0.2,1.6,2.0,12.0,13.0,39.0,0.16
2023-06-14 09:00:00,42.0,13.0,22.0,8.0,0.2,3.3,14.0,13.0,20.0,24.0,0.19
2023-06-14 08:00:00,41.0,12.0,22.0,6.0,0.2,1.0,16.0,14.0,22.0,11.0,0.36
2023-06-14 07:00:00,41.0,12.0,22.0,6.0,0.2,0.4,12.0,13.0,21.0,4.0,0.32
2023-06-14 06:00:00,38.0,11.0,22.0,8.0,0.2,0.4,8.0,13.0,24.0,4.0,0.26
2023-06-14 05:00:00,36.0,11.0,21.0,9.0,0.2,0.2,8.0,10.0,20.0,5.0,0.21
2023-06-14 04:00:00,40.0,12.0,22.0,11.0,0.2,0.2,10.0,11.0,24.0,4.0,0.23
2023-06-14 03:00:00,40.0,12.0,22.0,14.0,0.2,0.2,11.0,13.0,22.0,3.0,0.25
2023-06-14 02:00:00,39.0,12.0,21.0,18.0,0.2,0.3,9.0,8.0,20.0,7.0,0.27
2023-06-14 01:00:00,39.0,12.0,21.0,22.0,0.2,0.3,8.0,20.0,33.0,10.0,0.23
2023-06-14 00:00:00,41.0,12.0,21.0,22.0,0.2,0.3,8.0,20.0,25.0,11.0,0.25
2023-06-13 23:00:00,35.0,10.0,18.0,29.0,0.2,0.2,8.0,11.0,22.0,17.0,0.25
2023-06-13 22:00:00,33.0,10.0,18.0,29.0,0.2,0.4,11.0,13.0,21.0,17.0,0.31
2023-06-13 21:00:00,34.0,8.0,15.0,37.0,0.1,0.3,9.0,10.0,23.0,21.0,0.28
2023-06-13 20:00:00,34.0,8.0,14.0,41.0,0.1,0.3,7.0,11.0,18.0,26.0,0.3
2023-06-13 19:00:00,42.0,8.0,13.0,45.0,0.1,0.3,4.0,8.0,13.0,35.0,0.2
2023-06-13 18:00:00,42.0,8.0,13.0,45.0,0.1,0.3,4.0,9.0,13.0,37.0,0.17
2023-06-13 17:00:00,44.0,9.0,14.0,50.0,0.1,0.4,2.0,11.0,15.0,40.0,0.16
2023-06-13 16:00:00,47.0,8.0,14.0,51.0,0.1,0.3,2.0,7.0,9.0,42.0,0.14
2023-06-13 15:00:00,47.0,8.0,15.0,49.0,0.1,0.2,1.0,10.0,13.0,47.0,0.14
2023-06-13 14:00:00,45.0,8.0,15.0,49.0,0.1,0.2,1.0,10.0,13.0,47.0,0.14
2023-06-13 13:00:00,41.0,7.0,15.0,39.0,0.2,0.6,2.0,8.0,12.0,52.0,0.15
2023-06-13 12:00:00,31.0,8.0,16.0,34.0,0.2,0.8,3.0,9.0,15.0,56.0,0.16
2023-06-13 11:00:00,31.0,8.0,16.0,30.0,0.2,0.5,3.0,5.0,11.0,60.0,0.16
2023-06-13 10:00:00,29.0,8.0,18.0,26.0,0.2,0.6,6.0,7.0,15.0,56.0,0.16
2023-06-13 09:00:00,31.0,9.0,18.0,26.0,0.2,0.6,6.0,7.0,15.0,48.0,0.18
2023-06-13 08:00:00,31.0,9.0,20.0,19.0,0.2,0.8,19.0,14.0,22.0,22.0,0.42
2023-06-13 07:00:00,32.0,9.0,20.0,20.0,0.1,0.3,18.0,11.0,26.0,6.0,0.38
2023-06-13 06:00:00,25.0,7.0,18.0,24.0,0.1,0.3,8.0,8.0,22.0,10.0,0.2
2023-06-13 05:00:00,25.0,7.0,17.0,27.0,0.1,0.3,5.0,9.0,23.0,15.0,0.16
2023-06-13 04:00:00,25.0,6.0,15.0,29.0,0.1,0.1,4.0,8.0,23.0,20.0,0.16
2023-06-13 03:00:00,27.0,6.0,13.0,32.0,0.1,0.2,3.0,10.0,17.0,31.0,0.16
2023-06-13 02:00:00,30.0,5.0,11.0,32.0,0.1,0.2,5.0,6.0,19.0,24.0,0.16
2023-06-13 01:00:00,30.0,5.0,10.0,33.0,0.1,0.2,5.0,3.0,14.0,21.0,0.19
2023-06-13 00:00:00,31.0,5.0,10.0,33.0,0.1,0.3,3.0,6.0,10.0,33.0,0.15
2023-06-12 23:00:00,31.0,5.0,10.0,34.0,0.1,0.3,4.0,5.0,4.0,43.0,0.14
2023-06-12 22:00:00,30.0,6.0,10.0,32.0,0.1,0.2,8.0,6.0,16.0,30.0,0.23
2023-06-12 21:00:00,30.0,6.0,9.0,32.0,0.1,0.2,7.0,6.0,13.0,34.0,0.22
2023-06-12 20:00:00,30.0,6.0,9.0,32.0,0.1,0.3,4.0,6.0,11.0,40.0,0.18
2023-06-12 19:00:00,28.0,5.0,8.0,29.0,0.1,0.4,4.0,7.0,8.0,36.0,0.19
2023-06-12 18:00:00,24.0,5.0,8.0,26.0,0.1,0.4,5.0,7.0,8.0,30.0,0.23
2023-06-12 17:00:00,24.0,5.0,9.0,26.0,0.1,0.3,4.0,3.0,10.0,31.0,0.17
2023-06-12 16:00:00,24.0,5.0,10.0,25.0,0.1,0.2,3.0,6.0,8.0,29.0,0.14
2023-06-12 15:00:00,22.0,6.0,11.0,24.0,0.1,0.3,3.0,6.0,5.0,28.0,0.15
2023-06-12 14:00:00,19.0,5.0,12.0,21.0,0.2,0.8,7.0,5.0,10.0,26.0,0.16
2023-06-12 13:00:00,20.0,5.0,12.0,19.0,0.2,0.5,12.0,6.0,13.0,21.0,0.2
2023-06-12 12:00:00,20.0,5.0,12.0,17.0,0.2,0.1,6.0,8.0,10.0,27.0,0.17
2023-06-12 11:00:00,19.0,5.0,13.0,15.0,0.1,0.5,17.0,5.0,7.0,17.0,0.19
2023-06-12 10:00:00,28.0,6.0,15.0,14.0,0.1,0.0,6.0,5.0,9.0,25.0,0.15
2023-06-12 08:00:00,21.0,6.0,20.0,10.0,0.1,0.0,9.0,9.0,9.0,20.0,0.26
2023-06-12 07:00:00,21.0,6.0,20.0,10.0,0.1,0.0,15.0,6.0,22.0,4.0,0.33
2023-06-12 06:00:00,22.0,5.0,22.0,8.0,0.1,0.0,6.0,6.0,25.0,9.0,0.17
2023-06-12 05:00:00,21.0,5.0,21.0,8.0,0.1,0.0,2.0,5.0,21.0,10.0,0.14
2023-06-12 04:00:00,21.0,5.0,21.0,7.0,0.2,0.0,2.0,4.0,24.0,9.0,0.12
2023-06-12 03:00:00,20.0,6.0,19.0,7.0,0.2,0.0,1.0,3.0,21.0,11.0,0.11
2023-06-12 02:00:00,20.0,6.0,19.0,7.0,0.2,0.0,1.0,3.0,21.0,11.0,0.11
2023-06-12 01:00:00,23.0,7.0,20.0,7.0,0.2,0.0,3.0,6.0,23.0,11.0,0.16
2023-06-12 00:00:00,23.0,7.0,18.0,11.0,0.2,0.0,7.0,8.0,19.0,6.0,0.24
2023-06-11 22:00:00,26.0,8.0,15.0,18.0,0.2,0.0,10.0,7.0,19.0,4.0,0.27
2023-06-11 21:00:00,26.0,8.0,15.0,18.0,0.2,0.0,14.0,10.0,22.0,3.0,0.36
2023-06-11 20:00:00,27.0,8.0,14.0,24.0,0.1,0.0,13.0,10.0,21.0,6.0,0.36
2023-06-11 19:00:00,24.0,7.0,10.0,26.0,0.1,0.0,6.0,8.0,19.0,17.0,0.26
2023-06-11 18:00:00,24.0,6.0,8.0,27.0,0.1,0.0,5.0,8.0,11.0,22.0,0.23
2023-06-11 17:00:00,25.0,6.0,8.0,27.0,0.1,0.0,5.0,8.0,11.0,22.0,0.23
2023-06-11 16:00:00,24.0,5.0,7.0,26.0,0.1,0.0,2.0,3.0,4.0,32.0,0.13
2023-06-11 15:00:00,24.0,5.0,7.0,26.0,0.1,0.1,4.0,4.0,2.0,34.0,0.12
2023-06-11 14:00:00,22.0,6.0,10.0,20.0,0.1,0.0,3.0,5.0,2.0,28.0,0.11
